epoch,train_dist_loss,val_dist_loss,train_rmsd,val_rmsd
0,0.014493390352939374,0.0006643754611331306,0.024102108645976342,0.024536125471992527
1,0.009270262241204842,0.0012548602785927192,0.03464154150096922,0.03978213361644243
2,0.007895338563267407,0.001101400270119225,0.0391006950797615,0.03541181330261356
3,0.007014719115354831,0.001157777172002435,0.0362897231838796,0.03666038013408141
4,0.006055350306974705,0.0009555567139202072,0.036985295280854376,0.036558222290753194
5,0.005440017645309621,0.0008530885655158667,0.03664304989478795,0.03212814251495911
6,0.005133829667737318,0.000908504618847182,0.035252750474916196,0.03544312120842619
7,0.004752643410924966,0.000799577411574622,0.0358356467728885,0.033849772484628206
8,0.00647432232373838,0.0010413065419719225,0.0363898063620621,0.03635769031516338
9,0.006530003540187651,0.0007903665975926739,0.03683164481771165,0.032013360393543785
10,0.006229585250858482,0.0010765654985826088,0.036522366765927315,0.03726884604047992
11,0.006184273875841746,0.000801865627437613,0.034562968105761614,0.032828784556249685
12,0.00560513983270943,0.0007750309659409244,0.03411067133449614,0.032079762244494846
13,0.0050208671751449125,0.0010185251724499377,0.03264056623003024,0.03460033408646665
14,0.004647444156574701,0.0008821023451420554,0.033926777801164786,0.033772712002446074
15,0.004285657171133535,0.0007881979617398703,0.03343752715595611,0.03236366741633614
16,0.0042903518667879075,0.0008142524770714198,0.0339973152303949,0.03285920457065822
17,0.004047421247246874,0.0007438539980585208,0.032032082293624226,0.031147700388532897
18,0.00371937564409831,0.0008000002502958052,0.032602687729057965,0.033477976683051414
19,0.0033903221260665577,0.0009211469434117326,0.03310494571654578,0.03374999460784165
20,0.003654506521839762,0.001069194163665971,0.03368716945039454,0.0363439463304413
21,0.0033886710131771362,0.0011712294339404283,0.03309204674124923,0.03565686416225594
22,0.0032170174726517398,0.0007465233412966084,0.03336494656141525,0.032759705376066324
23,0.0032456937496329356,0.000978086146180937,0.033375492410706094,0.03470241258464519
24,0.0030465052764424507,0.0009094346555787769,0.032542830145387024,0.033949237799940316
25,0.003342184468794002,0.0007862196751104661,0.03402109107448719,0.032212648352524374
26,0.0028438279611147322,0.0007395193245997321,0.0331916127900989,0.034089076019393844
27,0.00279650164803048,0.0007879866918542914,0.033328850861481754,0.034108473936528
28,0.0026819647364431714,0.0006442527389560727,0.032966398159698186,0.03320514049226632
29,0.0026525418037023495,0.0006555412827409249,0.03300272625124064,0.03321026089154596
30,0.0024927192028993497,0.000718889892866841,0.03304443158572418,0.034803664828779626
31,0.0025482492832160928,0.0006697276534820066,0.03355733439204474,0.033512157826056384
32,0.002504603678982093,0.0007845543995183142,0.03382214620100285,0.035497993583337155
33,0.0024491239138397162,0.0006268473284041756,0.03370601576743394,0.03263494191139307
34,0.002447882454755431,0.0007683065682981151,0.03326751978574284,0.03326266873947255
35,0.002568375697627694,0.0006049926250323074,0.03396050872153665,0.033672047740840004
36,0.002381285594900953,0.0006190449002984019,0.03377428574105996,0.032671523259560936
37,0.0023740322530764564,0.0005587905887054719,0.033533373421554664,0.03169329195885496
38,0.002397322709980075,0.0005966860691347675,0.03437800793957314,0.032696598120437376
39,0.0023814104156923794,0.0006221545327825526,0.034344081705253,0.03369837838674902
40,0.0022334626539559322,0.0006128813461837597,0.033771269461236646,0.033497700010264496
41,0.002151783982303152,0.0009585584440000331,0.03367141643023982,0.03636083056311421
42,0.0021736113283250475,0.0006320662897277599,0.0335680377769773,0.03356415396317215
43,0.0021819943041705035,0.0005373258647941427,0.03339698600733338,0.03197848951608242
44,0.0022291834328727867,0.0005641969527957304,0.03327736111017054,0.032123825711383246
45,0.0021667008128104085,0.0005693152008320485,0.034096412738917586,0.03328988110631299
46,0.002103646462792663,0.0005785331021147421,0.033482865771788994,0.03373853368789526
47,0.002100070528959965,0.0006474811142208024,0.03389628165533511,0.03552574772915716
